method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
naive,1024,8,369,4.150917053222656,4.900995878265226,-0.7500788250425696,0.7500788250425696,0.15304620605150768,0.5626182437772418,0.364501953125,-0.7
prox,1024,8,369,4.957930088043213,4.900995878265226,0.05693420977798702,0.05693420977798702,0.011616865468195346,0.003241504243043833,0.364501953125,-0.7
ipw,1024,8,369,4.311637878417969,4.900995878265226,-0.5893579998472571,0.5893579998472571,0.12025270261110042,0.34734285198395953,0.364501953125,-0.7
impute,1024,8,369,-0.0526670403778553,4.900995878265226,-4.953662918643081,4.953662918643081,1.0107461915263838,24.53877631153949,0.364501953125,-0.7
scope,1024,8,369,4.2733272634830435,4.900995878265226,-0.6276686147821824,0.6276686147821824,0.12806960674375312,0.39396788998258364,0.364501953125,-0.7
naive,1024,8,370,4.242786407470703,4.896286229645014,-0.6534998221743109,0.6534998221743109,0.13346846804372595,0.42706201758185597,0.36328125,-0.7
prox,1024,8,370,4.961038589477539,4.896286229645014,0.06475235983252503,0.06475235983252503,0.013224790544408112,0.004192868103880801,0.36328125,-0.7
ipw,1024,8,370,4.1721906661987305,4.896286229645014,-0.7240955634462836,0.7240955634462836,0.14788668992882412,0.5243143850025909,0.36328125,-0.7
impute,1024,8,370,1.1421655416488647,4.896286229645014,-3.7541206879961493,3.7541206879961493,0.7667281919236014,14.093422140040682,0.36328125,-0.7
scope,1024,8,370,4.647416422083631,4.896286229645014,-0.2488698075613831,0.2488698075613831,0.050828280024680345,0.06193618111563986,0.36328125,-0.7
naive,2048,8,321,4.2263407707214355,4.896826510671939,-0.6704857399505038,0.6704857399505038,0.13692250245935303,0.44955112747697457,0.3736572265625,-0.7
prox,2048,8,321,4.924115180969238,4.896826510671939,0.027288670297298978,0.027288670297298978,0.005572725567840149,0.0007446715265946875,0.3736572265625,-0.7
ipw,2048,8,321,4.148446559906006,4.896826510671939,-0.7483799507659334,0.7483799507659334,0.15282958241116884,0.560072550708421,0.3736572265625,-0.7
impute,2048,8,321,-0.8645197153091431,4.896826510671939,-5.761346225981082,5.761346225981082,1.1765469357399216,33.193110335626464,0.3736572265625,-0.7
scope,2048,8,321,4.688517423267079,4.896826510671939,-0.2083090874048601,0.2083090874048601,0.042539609469700417,0.04339267589544564,0.3736572265625,-0.7
naive,2048,8,322,3.9379985332489014,4.885242814770624,-0.9472442815217228,0.9472442815217228,0.19389911974440896,0.8972717288756048,0.3800048828125,-0.7
prox,2048,8,322,4.794418811798096,4.885242814770624,-0.09082400297252846,0.09082400297252846,0.0185915022888771,0.00824899951595386,0.3800048828125,-0.7
ipw,2048,8,322,4.013026237487793,4.885242814770624,-0.8722165772828312,0.8722165772828312,0.17854109004483212,0.7607617576869771,0.3800048828125,-0.7
